dan	d a n
kedungrandu	k ə d u ŋ r a n d u
kedungsono	k ə d u ŋ s o n o
keemiran	k ə e m i r a n
keempat-empatnya	k ə ə m p a t ə m p a t ɲ a
keengganannya	k ə ə ŋ ɡ a n a n ɲ a
kefasikan	k e f a s i k a n
kegaiban	k ə ɡ a i b a n
kegentingan	k ə ɡ e n t i ŋ a n
kegesitan	k ə ɡ e s i t a n
kegusaran	k ə ɡ u s a r a n
kehidupan-nya	k ə h i d u p a n ɲ a
keikoku	k e i k o k u
kejawan	k ə d͡ʒ a w a n
kejurda	k ə d͡ʒ u r d a
kekarantinaan	k ə k a r a n t i n a a n
kekecualian	k ə k ə t͡ʃ u a l i a n
kekenyalan	k ə k ə ɲ a l a n
kekenyangan	k ə k ə ɲ a ŋ a n
kekompleksan	k ə k o m p l e k s a n
kekonyolannya	k ə k o ɲ o l a n ɲ a
kekristenannya	k ə k r i s t ə n a n ɲ a
keksatriaan	k ə k s a t r i a a n
kekunoan	k ə k u n o a n
kelabat	k ə l a b a t
kelainan-kelainan	k ə l a i n a n k ə l a i n a n
kelaliman	k ə l a l i m a n
kelas-ab	k ə l a s a b e
kelimapuluh	k ə l i m a p u l u h
kelu	k ə l u
keluhanku	k ə l u h a n k u
kelupaan	k ə l u p a a n
kelurusan	k ə l u r u s a n
keluyuran	k ə l u j u r a n
kemahkotaan	k ə m a h k o t a a n
kemalangannya	k ə m a l a ŋ a n ɲ a
kemananan	k ə m a n a n a n
kemanukan	k ə m a n u ʔ a n
kemanusiaan-nya	k ə m a n u s i a a n ɲ a
kemasa	k ə m a s a
kemasakan	k ə m a s a k a n
kembail	k ə m b a i l
kemendikbudristek	k ə m ə n d i k b u d r i s t e k
kemerah-jambuan	k ə m e r a h d͡ʒ a m b u a n
kemewahannya	k ə m e w a h a n ɲ a
kemistri	k ə m i s t r i
kemodernan	k ə m o d ə r n a n
kemolekan	k ə m o l e k a n
kemplong	k ə m p l o ŋ
kemuakan	k ə m u a k a n
kemulan	k ə m u l a n
kemulian	k ə m u l i a n
kenaikan-nya	k ə n a i k a n ɲ a
kenakanlah	k ə n a k a n l a h
kencangnya	k ə n t͡ʃ a ŋ ɲ a
kendalisodo	k ə n d a l i s o d o
kendangan	k ə n d a ŋ a n
kengen	k e n ɡ e n
keningar	k ə n i ŋ a r
kentengsari	k ə n t e ŋ s a r i
kenting	k ə n t i ŋ
kenyaman	k ə ɲ a m a n
kenzabur	k e n z a b u r
kepadangan	k ə p a d a ŋ a n
kepangeranan-kepangeranan	k ə p a ŋ e r a n a n k ə p a ŋ e r a n a n
keparakan	k ə p a r a k a n
keparat	k ə p a r a t
kepastoran	k ə p a s t o r a n
kepatriarkan	k ə p a t r i a r k a n
kepemilikian	k ə p ə m i l i ʔ i a n
kepenulisannya	k ə p ə n u l i s a n ɲ a
keperluan-keperluan	k ə p ə r l u a n k ə p ə r l u a n
kepesantrenan	k ə p e s a n t r ə n a n
kepo	k ə p o
kepohbaru	k ə p o h b a r u
kepolisiannya	k ə p o l i s i a n ɲ a
kepsek	k ə p s ə k
kepujanggaan	k ə p u d͡ʒ a ŋ ɡ a a n
kepundungan	k ə p u n d u ŋ a n
kepunyaannya	k ə p u ɲ a a n ɲ a
kerabu	k ə r a b u
kerakyatannya	k ə r a k j a t a n ɲ a
kerambit	k ə r a m b i t
kerataan	k ə r a t a a n
kereaktifan	k ə r e a k t i f a n
kerenggangan	k ə r ə ŋ ɡ a ŋ a n
keringatnya	k ə r i ŋ a t ɲ a
keringkan	k ə r i ŋ k a n
keris-keris	k ə r i s k ə r i s
kerokan	k ə r o k a n
kersan	k e r s a n
kerslake	k e r s l a k e
kerucut-kerucut	k ə r u t͡ʃ u t k ə r u t͡ʃ u t
kerudungnya	k ə r u d u ŋ ɲ a
kerung	k ə r u ŋ
kesakralan	k ə s a k r a l a n
kesalingpahaman	k ə s a l i ŋ p a h a m a n
kesawa	k ə s a w a
kesejarahannya	k ə s ə d͡ʒ a r a h a n ɲ a
kesek	k ə s ə k
kesekolah	k ə s e k o l a h
kesepatan	k ə s ə p a t a n
kesertaan	k ə s e r t a a n
keseruan	k ə s ə r u a n
kesetangkupan	k ə s e t a ŋ k u p a n
kesetiaanku	k ə s e t i a a n k u
kesetian	k ə s ə t i a n
kesetimbangannya	k ə s ə t i m b a ŋ a n ɲ a
kesintasan	k ə s i n t a s a n
kesir	k ə s i r
ketah	k ə t a h
ketakkontinuan	k ə t a k k o n t i n u a n
ketakteraturan	k ə t a k t ə r a t u r a n
ketelitiannya	k ə t ə l i t i a n ɲ a
ketemukungan	k ə t ə m u k u ŋ a n
ketengah	k ə t ə ŋ a h
keterandalan	k ə t ə r a n d a l a n
keterasingannya	k ə t ə r a s i ŋ a n ɲ a
keterkenalannya	k ə t ə r k ə n a l a n ɲ a
ketertelusuran	k ə t ə r t e l u s u r a n
ketertutupan	k ə t ə r t u t u p a n
ketidak-adilan	k ə t i d a ʔ a d i l a n
ketidak-pastian	k ə t i d a ʔ p a s t i a n
ketidakbebasan	k ə t i d a ʔ b ə b a s a n
ketidakberpihakan	k ə t i d a k b ə r p i h a k a n
ketidaklayakan	k ə t i d a k l a j a k a n
ketidaknyamanannya	k ə t i d a k ɲ a m a n a n ɲ a
ketigapuluh	k ə t i ɡ a p u l u h
ketosis	k ə t o s i s
ketupa	k ə t u p a
keungu-unguan	k ə u ŋ u u ŋ u a n
keuning	k e u n i ŋ
keupula	k e u p u l a
keusangan	k ə u s a ŋ a n
keutamaan-keutamaan	k ə u t a m a a n k ə u t a m a a n
keutuhannya	k ə u t u h a n ɲ a
kewang	k ə w a ŋ
khairani	x a i r a n i
khairat	x a i r a t
khalidi	x a l i d i
khalifah-khalifah	x a l i f a ʔ x a l i f a ʔ
khandha	x a n d h a
khatibi	x a t i b i
kiat-kiat	k i a t k i a t
kibut	k i b u t
kibuye	k i b u j ə
kicuit	k i t͡ʃ u i t
kilowatt-jam	k i l o w a t t d͡ʒ a m
kimas	k i m a s
kinilow	k i n i l o w
kinjeng	k i n d͡ʒ ə ŋ
kipasan-semak	k i p a s a n s e m a ʔ
kipo	k i p o
kippen	k i p p e n
kiraman	k i r a m a n
kirgiztan	k i r ɡ i z t a n
kiri-ke	k i r i k ə
kirimi	k i r i m i
kisarannya	k i s a r a n ɲ a
kistik	k i s t e i k a
kiswah	k i s w a h
kitar	k i t a r
kits	k i t s
kiwalan	k i w a l a n
kiyokawa	k i j o k a w a
klahang	k l a h a ŋ
klamidia	k l a m i d i a
klamidospora	k l a m i d o s p o r a
klandasan	k l a n d a s a n
klantang	k l a n t a ŋ
klas-klas	k l a s k l a s
klasmen	k l a s m ə n
klausa-klausa	k l a u s a k l a u s a
klenengan	k l ə n e ŋ a n
kleptomania	k l ə p t o m a n i a
klin	k l i n
klinefelter	k l i n ə f ə l t ə r
klip-klip	k l i p k l i p
klontong	k l o n t o ŋ
klopogodo	k l o p o ɡ o d o
kloridanya	k l o r i d a ɲ a
klorit	k l o r i t
kloroformat	k l o r o f o r m a t
kluane	k l u a n e
koalesensi	k o a l ə s e n s i
kobo-chan	k o b o t͡ʃ h a n
kodaira	k o d a i r a
kodikal	k o d i k a l
koefisien-koefisien	k u f i s i e n k u f i s i e n
koendoro	k u n d o r o
koersi	k u r s i
kokolot	k o k o l o t
kokon	k o k o n
kolaga	k o l a ɡ a
kolapsnya	k o l a p s ɲ a
kole	k o l e
kolecer	k o l ə t͡ʃ ə r
kolektor-basis	k o l e k t o r b a s i s
kolonis-kolonis	k o l o n i s k o l o n i s
kolumnar	k o l u m n a r
komba	k o m b a
kombungo	k o m b u ŋ o
komdis	k o m d i s
komis	k o m i s
komiya	k o m i j a
komo-tv	k o m o t e v e
komorbiditas	k o m o r b i d i t a s
kompakta	k o m p a k t a
kompiang	k o m p i a ŋ
komplekmen	k o m p l e k m ə n
kompleksasi	k o m p l e k s a s i
komplementernya	k o m p l ə m e n t e r ɲ a
kompresibel	k o m p r e s i b ə l
komulatif	k o m u l a t i f
komunalisme	k o m u n a l i s m ə
komunikata	k o m u n i k a t a
komura	k o m u r a
kondangmekar	k o n d a ŋ m ə k a r
kondisioner	k o n d i s i o n e r
konfusianis	k o n f u s i a n i s
kongregasinya	k o ŋ r e ɡ a s i ɲ a
konidiofor	k o n i d i o f o r
konkritnya	k o n k r i t ɲ a
kononnya	k o n o n ɲ a
konsep-konsepnya	k o n s ə p k o n s ə p ɲ a
konsesinya	k o n s e s i ɲ a
konsonan-vokal	k o n s o n a n v o k a l
kontra-budaya	k o n t r a b u d a j a
kontrabas	k o n t r a b a s
kontrabudaya	k o n t r a b u d a j a
kontribusi-kontribusi	k o n t r i b u s i k o n t r i b u s i
kopor	k o p o r
korais	k o r a ʔ i s
korano	k o r a n o
kordon	k o r d o n
korduba	k o r d u b a
korelasional	k o r e l a s i o n a l
korinus	k o r i n u s
koroid	k o r o i d
koroma	k o r o m a
koromong	k o r o m o ŋ
koronal	k o r o n a l
korpora	k o r p o r a
korpuskula	k o r p u s k u l a
korupun	k o r u p u n
kosaku	k o s a k u
kosode	k o s o d ə
kostum-kostum	k o s t u m k o s t u m
kota-waringin	k o t a w a r i ŋ i n
kotapradja	k o t a p r a d e d͡ʒ e a
kotobangon	k o t o b a ŋ o n
kototinggi	k o t o t i ŋ ɡ i
koun	k o u n
kowal	k o w a l
kraca	k r a t͡ʃ a
krever	k r e v ə r
kriging	k r i ɡ i ŋ
kriosfer	k r i o s f ə r
kriptan	k r i p t a n
kriptokokus	k r i p t o k o k u s
krisantemum	k r i s a n t ə m u m
kristalen	k r i s t a l e n
kristen-simalungun	k r i s t ə n s i m a l u ŋ u n
kristenitas	k r i s t ə n i t a s
kristosentris	k r i s t o s e n t r i s
kritikan-kritikan	k r i t i k a n k r i t i k a n
krl-i	k a e r e l i
kronik-kronik	k r o n i k k r o n i k
krusta	k r u s t a
kruwet	k r u w ə t
ksallaksma	k s a l l a k s m a
ku-wan	k a u w a n
kuadratnya	k u a d r a t ɲ a
kualalumpur	k u a l a l u m p u r
kuasan	k u a s a n
kuataku	k u a t a k u
kubilang	k u b i l a ŋ
kucak	k u t͡ʃ a k
kucing-kucingan	k u t͡ʃ i ŋ k u t͡ʃ i ŋ a n
kudatuli	k u d a t u l i
kudungga	k u d u ŋ ɡ a
kudus-nya	k u d u s ɲ a
kugimiya	k u ɡ i m i j a
kuintus	k u i n t u s
kujaku	k u d͡ʒ a k u
kukabura	k u k a b u r a
kukai	k u k a j
kuku-kuku	k u k u k u k u
kukui	k u k u i
kukup	k u k u p
kuliahan	k u l i a h a n
kultivar-kultivar	k u l t i v a r k u l t i v a r
kulturalnya	k u l t u r a l ɲ a
kuluban	k u l u b a n
kuman-kuman	k u m a n k u m a n
kumandang	k u m a n d a ŋ
kundan	k u n d a n
kuni-ky	k u n i k a j e
kuning-biru	k u n i ŋ b i r u
kunisada	k u n i s a d a
kuntiboja	k u n t i b o d͡ʒ a
kuper	k u p ə r
kupetik	k u p e t i k
kuplet	k u p l e t
kuprat	k u p e r a t e
kurabesi	k u r a b ə s i
kurasun	k u r a s u n
kurawan	k u r a w a n
kuretes	k u r e t e s
kurumada	k u r u m a d a
kushinagar	k u s h i n a ɡ a r
kusnan	k u s n a n
kustini	k u s t i n i
kustodi	k u s t o d i
kutaneus	k u t a n e u s
kuwukan	k u w u k a n
kuwunya	k u w u ɲ a
kuyang	k u j a ŋ
l-glutamat	e l ɡ l u t a m a t
labelling	l a b e l l i ŋ
laberinto	l a b ə r i n t o
labobar	l a b o b a r
laboh	l a b o h
labunti	l a b u n t i
laeken	l a ə k e n
lafitte	l a f i t t e
laharnya	l a h a r ɲ a
laitimor	l a j t i m o r
lakadewa	l a k a d e w a
lakh	l a x
lakhdar	l a x d a r
lakidende	l a k i d e n d ə
laksagreha	l a k s a ɡ r ə h a
laktamase	l a k t a m a s e
lalapin	l a l a p i n
lalove	l a l o v ə
lamahala	l a m a h a l a
lamelek	l a m ə l e k
laminating	l a m i n a t i ŋ
lampah	l a m p a h
lampahan	l a m p a h a n
lancarkan	l a n t͡ʃ a r k a n
lancat	l a n t͡ʃ a t
landawe	l a n d a w ə
langes	l a n ɡ e s
langgai	l a ŋ ɡ a j
langgen	l a ŋ ɡ e n
langit-langitnya	l a ŋ i t l a ŋ i t ɲ a
langitku	l a ŋ i t k u
lankan	l a n k a n
lansiran	l a n s i r a n
lantakkan	l a n t a k k a n
lantawan	l a n t a w a n
lapen	l a p e n
lapodidi	l a p o d i d i
larnaka	l a r n a k a
larrea	l a r r e a
laru	l a r u
lase	l a s e
laserasi	l a s ə r a s i
laserion	l a s ə r i o n
laso	l a s o
lassus	l a s s u s
lateksnya	l a t e k s ɲ a
laudes	l a w d e s
lauknya	l a u k ɲ a
lauter	l a w t e r
lawanasura	l a w a n a s u r a
lawawoi	l a w a w o j
lawi	l a w i
lazaret	l a z a r e t
lazika	l a z i k a
lbp	l b p
ldks	l d k s
ledakan-ledakan	l ə d a k a n l ə d a k a n
legere	l e ɡ e r e
lemah-lembut	l ə m a h l ə m b u t
lemahbangdewo	l ə m a h b a ŋ d ə w o
lembaga-lembaganya	l ə m b a ɡ a l ə m b a ɡ a ɲ a
lembarnya	l ə m b a r ɲ a
lemkari	l e m k a r i
lempai	l ə m p a j
lempangan	l ə m p a ŋ a n
lemukutan	l ə m u k u t a n
lengat	l ə ŋ a t
lengking	l ə ŋ k i ŋ
lenisi	l ə n i s i
lenturan	l ə n t u r a n
lepaskanlah	l ə p a s k a n l a h
lerak-lerakan	l ə r a k l ə r a k a n
lesmanawati	l e s m a n a w a t i
lesus	l ə s u s
leta	l ə t a
letakan	l ə t a k a n
letti	l e t t i
letup-balik	l ə t u p b a l i ʔ
leubok	l e u b o k
leusit	l e u s i t
leuwiloa	l e u w i l o a
leveling	l e p e l i ŋ
levski	l e p s k i
libia	l i b i a
lidar	l i d a r
ligo	l i ɡ o
lilibet	l i l i b ə t
limfadenopati	l i m f a d ə n o p a t i
limpahkan	l i m p a h k a n
limpas	l i m p a s
lindes	l i n d e s
linearitas	l i n e a r i t a s
lingayan	l i n ɡ a j a n
linggamanik	l i ŋ ɡ a m a n i k
lingkarannya	l i ŋ k a r a n ɲ a
linting	l i n t i ŋ
lioh	l i o h
liposom	l i p o s o m
lire	l i r e
lirung	l i r u e n ɡ e
lisesi	l i s e s i
literate	l i t ə r a t e
litton	l i t t o n
liurnya	l i u r ɲ a
loban	l o b a n
lobii	l o b i i
lobotomi	l o b o t o m i
loder	l o d ə r
logisnya	l o ɡ i s ɲ a
logo-logo	l o ɡ o l o ɡ o
lohjinawi	l o h d͡ʒ i n a w i
loktabat	l o k t a b a t
lolombulan	l o l o m b u l a n
lombongo	l o m b o ŋ o
loongson	l o o ŋ s o n
lorber	l o r b ə r
lorestan	l o r e s t a n
lorimar	l o r i m a r
lotsawa	l o t s a w a
lowian	l o w i a n
lpe	l p ə
lpmk	l p m k
luahan	l u a h a n
lubu	l u b u
lubukraya	l u b u ʔ r a j a
ludolph	l u d o l p h
luik	l u i k
lukup	l u k u p
luli	l u l i
lullus	l u l l u s
lulo	l u l o
lumbar	l u m b a r
lumeneng	l u m ə n e ŋ
lumu	l u m u
lundong	l u n d o ŋ
lunggah	l u ŋ ɡ a h
lunglai	l u ŋ l a j
lupak	l u p a k
lutang	l u t a ŋ
m-h	e m h
m-o	e m o
ma-m	e m a e m
maatam	m a a t a m
mabesau	m a b ə s a w
mabrur	m a b r u r
mabul	m a b u l
madding	m a d d i ŋ
maden	m a d ə n
madi-hijau	m a d i h i d͡ʒ a w
madia	m a d i a
maduita	m a d u i t a
magari	m a h a r i
magasen	m a ɡ a s e n
magistra	m a ɡ i e s t e e r a
magmatron	m a h m a t r o n
magnani	m a h n a n i
magnetosfernya	m a ɡ n e t o s f ə r ɲ a
mahagoni	m a h a ɡ o n i
mahakali	m a h a k a l i
mahakasyapa	m a h a k a ʃ a p a
mahalat	m a h a l a t
mahama	m a h a m a
mahamadou	m a h a m a d o u
mahaparinibbana	m a h a p a r i n i b b a n a
mahasiswinya	m a h a s i s w i ɲ a
mahastra	m a h a e s t e e r a
mahawisnu	m a h a w i s n u
mahbubah	m a h b u b a h
mahdum	m a h d u m
mahmuddin	m a h m u d d i n
maibang	m a j b a ŋ
maidah	m a j d a h
mairi	m a i r i
mait	m a i t
makalua	m a k a l u a
makamah	m a k a m a h
makang	m a k a ŋ
makani	m a k a n i
makbon	m a k b o n
makilala	m a k i l a l a
makiyo	m a k i j o
makodam	m a k o d a m
makodim	m a k o d i m
makota	m a k o t a
makrogamet	m a k r o ɡ a m e t
maksimumkan	m a k s i m u m k a n
malalo	m a l a l o
malangkab	m a l a ŋ k a b
malayik	m a l a j i k
malei	m a l ə i
malenga	m a l ə ŋ a
malenggang	m a l ə ŋ ɡ a ŋ
males	m a l e s
malui	m a l u i
mamacita	m a m a t͡ʃ i t a
mamakai	m a m a k a j
mamarungu	m a m a r u ŋ u
maming	m a m i ŋ
mamiri	m a m i r i
mampus	m a m p u s
man-made	m a n m a d ə
manabe	m a n a b ə
manajeri	m a n a d͡ʒ ə r i
manamakeri	m a n a m a k ə r i
manasseh	m a n a s s e h
manawi	m a n a w i
mancapai	m a n t͡ʃ a p a j
mancari	m a n t͡ʃ a r i
mancilan	m a n t͡ʃ i l a n
mandapat	m a n d a p a t
mandapatahun	m a n d a p a t a h u n
mandar-padi	m a n d a r p a d i
mandaragiri	m a n d a r a ɡ i r i
mandaro	m a n d a r o
mandelbaum	m a n d ə l b a u m
mandelun	m a n d ə l u n
mandingo	m a n d i ŋ o
mandokoro	m a n d o k o r o
mandrel	m a n d r e l
manekin	m a n ə k i n
manera	m a n e r a
manganan	m a ŋ a n a n
manganitu	m a n ɡ a n i t u
mangga-manggaan	m a ŋ ɡ a m a ŋ ɡ a a n
manggungan	m a ŋ ɡ u ŋ a n
manggungsari	m a ŋ ɡ u ŋ s a r i
mangkara	m a ŋ k a r a
maninka	m a n i n k a
manipura	m a n i p u r a
manisha	m a n i s h a
manitol	m a n i t o l
manjang	m a n j a ŋ
manjing	m a n d͡ʒ i ŋ
manjutakin	m a n d͡ʒ u t a k i n
manosa	m a n o s a
manso	m a n s o
mansurah	m a n s u r a h
mantas	m a n t a s
manting	m a n t i ŋ
mantri-mantri	m a n t r i m a n t r i
mantuil	m a n t u i l
mantung	m a n t u ŋ
manubrium	m a n u b r i u m
manupeu	m a n u p e u
manusuk	m a n u s u k
manuverabilitas	m a n u v ə r a b i l i t a s
maparah	m a p a r a h
mappalili	m a p p a l i l i
maragusan	m a r a ɡ u s a n
marakana	m a r a k a n a
maranua	m a r a n u a
marasbaras	m a r a s b a r a s
marau	m a r a w
marbel	m a r b e l
maret-mei	m a r ə t m e j
margasira	m a r ɡ a s i r a
maria-sama	m a r i a s a m a
mariane	m a r i a n e
mariat	m a r i a t
marigot	m a r i ɡ o t
marike	m a r i k e
marimar	m a r i m a r
marinasa	m a r i n a s a
markasan	m a r k a s a n
marketer	m a r k ə t ə r
markoni	m a r k o n i
markonis	m a r k o n i s
marlan	m a r l a n
maropat	m a r o p a t
marouane	m a r o u a n e
martaban	m a r t a b a n
martello	m a r t e l l o
maruhun	m a r u h u n
marunduh	m a r u n d u h
maruzen	m a r u z e n
marwas	m a r w a s
masahide	m a s a h i d ə
masakatsu	m a s a k a t s u
masalili	m a s a l i l i
masalima	m a s a l i m a
maserasi	m a s ə r a s i
mashab	m a s h a b
mashad	m a s h a t
masihi	m a s i h i
maskara	m a s k a r a
maslog	m a s l o ɡ
masons	m a s o n s
massaro	m a s s a r o
mastaka	m a s t a k a
mastrans	m a s t r a n s
mastrip	m a s t r i p
masturah	m a s t u r a h
masu	m a s u
masukan-tunggal	m a s u k a n t u ŋ ɡ a l
masyarakatpun	m a ʃ a r a k a t p u n
mata-hari	m a t a h a r i
mataair	m a t a a i r
matai	m a t a j
mataloko	m a t a l o k o
matara	m a t a r a
matbat	m a t b a t
matedung	m a t e d u ŋ
maternalnya	m a t ə r n a l ɲ a
matholibul	m a t h o l i b u l
matkal	m a t k a l
maton	m a t o n
mattos	m a t t o s
mawar-mawaran	m a w a r m a w a r a n
mawarnya	m a w a r ɲ a
mawon	m a w o n
mayawati	m a j a w a t i
mbomou	e m b e o m o u
mdc-t	m d t͡ʃ t
mdn	m d n
medan-tengah	m e d a n t ə ŋ a h
medianus	m e d i a n u s
medikolegal	m e d i k o l e ɡ a l
megafon	m e ɡ a f o n
megaswara	m e ɡ a s w a r a
megatama	m ə ɡ a t a m a
megawatt-jam	m e ɡ a w a t t d͡ʒ a m
mehran	m e h r a n
mei-juli	m e j d͡ʒ u l i
meidani	m e j d a n i
meiken	m ə i k ə n
meisel	m e j s e l
mejagong	m e d͡ʒ a ɡ o ŋ
mejuah-juah	m ə d͡ʒ u a h d͡ʒ u a h
mekarlaksana	m ə k a r l a k s a n a
melabuh	m ə l a b u h
melai	m ə l a j
melaksankan	m ə l a k s a n k a n
melampirkannya	m ə l a m p i r k a n ɲ a
melar	m ə l a r
melatari	m ə l a t a r i
melayu-tionghoa	m ə l a j u t i o ŋ h o a
melebarnya	m ə l ə b a r ɲ a
melemahkannya	m ə l ə m a h k a n ɲ a
meletakannya	m ə l ə t a k a n ɲ a
melinggih	m ə l i ŋ ɡ i h
melipatnya	m ə l i p a t ɲ a
meliriknya	m ə l i r i k ɲ a
melkias	m ə l k i a s
melodika	m ə l o d i k a
melombakan	m ə l o m b a k a n
meloncati	m ə l o n t͡ʃ a t i
melonggar	m ə l o ŋ ɡ a r
melongok	m ə l o ŋ o k
melontar	m ə l o n t a r
melumatkan	m ə l u m a t k a n
memalu	m ə m a l u
memancangkan	m ə m a n t͡ʃ a ŋ k a n
memandunya	m ə m a n d u ɲ a
memasung	m ə m a s u ŋ
mematri	m ə m a t r i
mematroli	m ə m a t r o l i
mematuk	m ə m a t u k
membarui	m ə m b a r u i
membekukannya	m ə m b ə k u k a n ɲ a
membeludak	m ə m b ə l u d a k
memberatkannya	m ə m b ə r a t k a n ɲ a
memberhentikannya	m ə m b ə r h ə n t i k a n ɲ a
membesut	m ə m b ə s u t
membintanginya	m ə m b i n t a ŋ i ɲ a
memble	m ə m b l e
memblokirnya	m ə m b l o k i r ɲ a
memborgolnya	m ə m b o r ɡ o l ɲ a
membrannya	m ə m b r a n ɲ a
membuat-buat	m ə m b u a t b u a t
membungakan	m ə m b u ŋ a k a n
membusukkan	m ə m b u s u k k a n
memeberi	m e m e b e r i
memekik	m ə m e k i k
memelesetkan	m ə m ə l e s e t k a n
memencarkan	m ə m e n t͡ʃ a r k a n
mementahkan	m ə m e n t a h k a n
memepertahankan	m e m e p ə r t a h a n k a n
memerani	m ə m ə r a n i
memeratakan	m ə m ə r a t a k a n
memeringkatkan	m ə m ə r i ŋ k a t k a n
memfusikan	m ə m f u s i k a n
memilihmu	m ə m i l i h m u
meminjamnya	m ə m i n d͡ʒ a m ɲ a
memipihkan	m ə m i p i h k a n
memoire	m ə m o i r e
memotivasinya	m ə m o t i v a s i ɲ a
mempergantikan	m ə m p ə r ɡ a n t i k a n
memperjuangkannya	m ə m p ə r d͡ʒ u a ŋ k a n ɲ a
memperkeras	m ə m p ə r k ə r a s
memperkuatnya	m ə m p ə r k u a t ɲ a
mempermudahkan	m ə m p ə r m u d a h k a n
mempersatukannya	m ə m p ə r s a t u k a n ɲ a
mempersaudarakan	m ə m p ə r s a u d a r a k a n
mempertahakan	m ə m p ə r t a h a k a n
mempertalikan	m ə m p ə r t a l i k a n
mempertobatkan	m ə m p ə r t o b a t k a n
mempresentasikannya	m ə m p r e s e n t a s i k a n ɲ a
memproduksikan	m ə m p r o d u k s i k a n
memroses	m ə m r o s e s
memunggungi	m ə m u ŋ ɡ u ŋ i
memungkin	m ə m u ŋ k i n
memuntahkannya	m ə m u n t a h k a n ɲ a
menadapat	m ə n a d a p a t
menafkahkan	m ə n a f k a h k a n
menai	m ə n a i
menaiknya	m ə n a i k ɲ a
menala	m ə n a l a
menalangi	m ə n a l a ŋ i
menamatkannya	m ə n a m a t k a n ɲ a
menanti-nantikan	m ə n a n t i n a n t i k a n
menawannya	m ə n a w a n ɲ a
mencapi	m ə n t͡ʃ a p i
mencek	m ə n t͡ʃ ə k
mencibir	m ə n t͡ʃ i b i r
mencirikannya	m ə n t͡ʃ i r i k a n ɲ a
mencuitkan	m ə n t͡ʃ u i t k a n
mendakwakan	m ə n d a k w a k a n
mendapakan	m ə n d a p a k a n
mendek	m ə n d e k
mendekatlah	m ə n d e k a t l a h
mendeklarasikannya	m ə n d e k l a r a s i k a n ɲ a
mendekonstruksi	m ə n d e k o n s t r u k s i
menderek	m ə n d ə r e k
mendetil	m ə n d ə t i l
mendistilasi	m ə n d i s t i l a s i
meneguk	m ə n ə ɡ u k
menempat	m ə n ə m p a t
menerka	m ə n ə r k a
menetapi	m ə n e t a p i
menetralkannya	m ə n e t r a l k a n ɲ a
mengabdikasikan	m ə ŋ a b d i k a s i k a n
mengabstraksi	m ə ŋ a b s t r a k s i
mengakomodasikan	m ə ŋ a k o m o d a s i k a n
mengalihfungsikan	m ə ŋ a l i h f u ŋ s i k a n
mengalirkannya	m ə ŋ a l i r k a n ɲ a
mengalunkan	m ə ŋ a l u n k a n
mengamputasi	m ə ŋ a m p u t a s i
mengantung	m ə ŋ a n t u ŋ
mengasaskan	m ə ŋ a s a s k a n
mengatahui	m ə ŋ a t a h u i
mengayun-ayunkan	m ə ŋ a j u n a j u n k a n
mengebumikan	m ə ŋ ə b u m i k a n
mengecewakannya	m ə ŋ ə t͡ʃ e w a k a n ɲ a
mengejawantah	m ə ŋ ə d͡ʒ a w a n t a h
mengekskomunikasikan	m ə ŋ e k s k o m u n i k a s i k a n
mengeong	m ə ŋ e o ŋ
mengerakkan	m ə ŋ ə r a k k a n
mengerikannya	m ə ŋ ə r i k a n ɲ a
mengeruda	m ə ŋ ə r u d a
mengetahu	m ə ŋ ə t a h u
menggagahi	m ə ŋ ɡ a ɡ a h i
menggagalkannya	m ə ŋ ɡ a ɡ a l k a n ɲ a
menggagaskan	m ə ŋ ɡ a ɡ a s k a n
menggembungkan	m ə ŋ ɡ ə m b u ŋ k a n
menggentarkan	m ə ŋ ɡ e n t a r k a n
menggereja	m ə ŋ ɡ ə r e d͡ʒ a
menggesernya	m ə ŋ ɡ e s ə r ɲ a
menggorengnya	m ə ŋ ɡ o r e ŋ ɲ a
menggumpalkan	m ə ŋ ɡ u m p a l k a n
menghantamkan	m ə ŋ h a n t a m k a n
menghantamnya	m ə ŋ h a n t a m ɲ a
menghapuskannya	m ə ŋ h a p u s k a n ɲ a
mengharamkannya	m ə ŋ h a r a m k a n ɲ a
menghiasinya	m ə ŋ h i a s i ɲ a
menghiburkan	m ə ŋ h i b u r k a n
menghimpit	m ə ŋ h i m p i t
menghipotesiskan	m ə ŋ h i p o t e s i s k a n
menghirupnya	m ə ŋ h i r u p ɲ a
menghubungakan	m ə ŋ h u b u ŋ a k a n
mengibaskan	m ə ŋ i b a s k a n
mengidam	m ə ŋ i d a m
mengikhlaskan	m ə ŋ i x l a s k a n
mengimpornya	m ə ŋ i m p o r ɲ a
menginervasi	m ə ŋ i n ə r v a s i
menginisiasikan	m ə ŋ i n i s i a s i k a n
mengintegrasi	m ə ŋ i n t ə ɡ r a s i
menginventarisasi	m ə ŋ i n v e n t a r i s a s i
mengipasi	m ə ŋ i p a s i
mengkalkulasikan	m ə ŋ k a l k u l a s i k a n
mengkiang	m ə ŋ k i a ŋ
mengkonstruksikan	m ə ŋ k o n s t r u k s i k a n
mengkontraskan	m ə ŋ k o n t r a s k a n
mengkontribusikan	m ə ŋ k o n t r i b u s i k a n
mengolok	m ə ŋ o l o k
